Território;Nome do território;Sexo;Ano;Meio de agressão;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.)
BR;Brasil;Ambos;2022;Arma branca ou objeto contundente;9110;4.32;4.25
BR;Brasil;Ambos;2022;Estrangulamento;699;0.33;0.32
BR;Brasil;Ambos;2022;Força corporal;968;0.46;0.45
BR;Brasil;Ambos;2022;Demais meios especificados;587;0.28;0.27
BR;Brasil;Ambos;2022;Meios não especificados;1293;0.61;0.59
BR;Brasil;Ambos;2023;Arma de fogo;30789;14.54;14.53
BR;Brasil;Ambos;2023;Arma branca ou objeto contundente;8875;4.19;4.14
BR;Brasil;Ambos;2023;Estrangulamento;692;0.33;0.32
BR;Brasil;Ambos;2023;Força corporal;1037;0.49;0.48
BR;Brasil;Ambos;2023;Demais meios especificados;580;0.27;0.26
BR;Brasil;Ambos;2023;Meios não especificados;1470;0.69;0.66
BR;Brasil;Ambos;2024;Arma de fogo;27423;12.9;13.01
BR;Brasil;Ambos;2024;Arma branca ou objeto contundente;8595;4.04;4
BR;Brasil;Ambos;2024;Estrangulamento;625;0.29;0.29
BR;Brasil;Ambos;2024;Força corporal;1167;0.55;0.54
BR;Brasil;Ambos;2024;Demais meios especificados;638;0.3;0.29
BR;Brasil;Ambos;2024;Meios não especificados;1498;0.7;0.68
BR;Brasil;Ambos;2025;Arma de fogo;23188;10.86;11.05
BR;Brasil;Ambos;2025;Arma branca ou objeto contundente;7951;3.73;3.69
BR;Brasil;Ambos;2025;Estrangulamento;551;0.26;0.26
BR;Brasil;Ambos;2025;Força corporal;1010;0.47;0.46
BR;Brasil;Ambos;2025;Demais meios especificados;560;0.26;0.26
BR;Brasil;Ambos;2025;Meios não especificados;1019;0.48;0.47
BR;Brasil;Homens;2000;Arma de fogo;28822;33.62;31.85
BR;Brasil;Homens;2000;Arma branca ou objeto contundente;6735;7.86;8.14
BR;Brasil;Homens;2000;Estrangulamento;285;0.33;0.33
BR;Brasil;Homens;2000;Força corporal;222;0.26;0.28
BR;Brasil;Homens;2000;Demais meios especificados;633;0.74;0.71
BR;Brasil;Homens;2000;Meios não especificados;4888;5.7;5.63
BR;Brasil;Homens;2001;Arma de fogo;31294;36.04;33.91
BR;Brasil;Homens;2001;Arma branca ou objeto contundente;7230;8.33;8.61
BR;Brasil;Homens;2001;Estrangulamento;367;0.42;0.44
BR;Brasil;Homens;2001;Força corporal;274;0.32;0.35
BR;Brasil;Homens;2001;Demais meios especificados;550;0.63;0.62
BR;Brasil;Homens;2001;Meios não especificados;4325;4.98;4.95
BR;Brasil;Homens;2002;Arma de fogo;32083;36.51;34.06
BR;Brasil;Homens;2002;Arma branca ou objeto contundente;7501;8.54;8.8
BR;Brasil;Homens;2002;Estrangulamento;387;0.44;0.43
BR;Brasil;Homens;2002;Força corporal;268;0.3;0.34
BR;Brasil;Homens;2002;Demais meios especificados;513;0.58;0.55
BR;Brasil;Homens;2002;Meios não especificados;5023;5.72;5.47
BR;Brasil;Homens;2003;Arma de fogo;33991;38.23;35.63
BR;Brasil;Homens;2003;Arma branca ou objeto contundente;7642;8.6;8.79
BR;Brasil;Homens;2003;Estrangulamento;406;0.46;0.46
BR;Brasil;Homens;2003;Força corporal;332;0.37;0.42
BR;Brasil;Homens;2003;Demais meios especificados;482;0.54;0.55
BR;Brasil;Homens;2003;Meios não especificados;4229;4.76;4.62
BR;Brasil;Homens;2004;Arma de fogo;32126;35.73;33.11
BR;Brasil;Homens;2004;Arma branca ou objeto contundente;7796;8.67;8.86
BR;Brasil;Homens;2004;Estrangulamento;428;0.48;0.48
BR;Brasil;Homens;2004;Força corporal;377;0.42;0.46
BR;Brasil;Homens;2004;Demais meios especificados;576;0.64;0.64
BR;Brasil;Homens;2004;Meios não especificados;3216;3.58;3.5
BR;Brasil;Homens;2005;Arma de fogo;31388;34.54;32.03
BR;Brasil;Homens;2005;Arma branca ou objeto contundente;8453;9.3;9.45
BR;Brasil;Homens;2005;Estrangulamento;421;0.46;0.47
BR;Brasil;Homens;2005;Força corporal;420;0.46;0.5
BR;Brasil;Homens;2005;Demais meios especificados;622;0.68;0.7
BR;Brasil;Homens;2005;Meios não especificados;2361;2.6;2.57
BR;Brasil;Homens;2006;Arma de fogo;32811;35.72;33.13
BR;Brasil;Homens;2006;Arma branca ou objeto contundente;8750;9.53;9.65
BR;Brasil;Homens;2006;Estrangulamento;405;0.44;0.46
BR;Brasil;Homens;2006;Força corporal;499;0.54;0.58
BR;Brasil;Homens;2006;Demais meios especificados;768;0.84;0.82
BR;Brasil;Homens;2006;Meios não especificados;1827;1.99;1.96
BR;Brasil;Homens;2007;Arma de fogo;32144;34.65;31.99
BR;Brasil;Homens;2007;Arma branca ou objeto contundente;8523;9.19;9.2
BR;Brasil;Homens;2007;Estrangulamento;430;0.46;0.46
BR;Brasil;Homens;2007;Força corporal;426;0.46;0.49
BR;Brasil;Homens;2007;Demais meios especificados;654;0.71;0.68
BR;Brasil;Homens;2007;Meios não especificados;1709;1.84;1.78
BR;Brasil;Homens;2008;Arma de fogo;33582;35.86;32.99
BR;Brasil;Homens;2008;Arma branca ou objeto contundente;9263;9.89;9.88
BR;Brasil;Homens;2008;Estrangulamento;437;0.47;0.45
BR;Brasil;Homens;2008;Força corporal;530;0.57;0.59
BR;Brasil;Homens;2008;Demais meios especificados;643;0.69;0.71
BR;Brasil;Homens;2008;Meios não especificados;1569;1.68;1.57
BR;Brasil;Homens;2009;Arma de fogo;34402;36.4;33.55
BR;Brasil;Homens;2009;Arma branca ou objeto contundente;9444;9.99;9.97
BR;Brasil;Homens;2009;Estrangulamento;469;0.5;0.48
BR;Brasil;Homens;2009;Força corporal;508;0.54;0.56
BR;Brasil;Homens;2009;Demais meios especificados;630;0.67;0.66
BR;Brasil;Homens;2009;Meios não especificados;1656;1.75;1.67
BR;Brasil;Homens;2010;Arma de fogo;34576;36.3;33.44
