Território;Nome do território;Sexo;Ano;Subgrupo detalhado;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.)
BR;Brasil;Ambos;2012;Pulmonares por agentes externos;4084;2.066;2.579
BR;Brasil;Ambos;2012;Interstício pulmonar;5630;2.848;3.505
BR;Brasil;Ambos;2012;Necróticas e supurativas;857;0.434;0.52
BR;Brasil;Ambos;2012;Pleura;1184;0.599;0.741
BR;Brasil;Ambos;2012;Outras do aparelho respiratório;11278;5.705;7.163
BR;Brasil;Ambos;2013;Órgãos digestivos;62432;31.34;38.92
BR;Brasil;Ambos;2013;"Pulmão, traqueia e brônquios";24490;12.29;15.41
BR;Brasil;Ambos;2013;Mama feminina;14388;7.22;8.66
BR;Brasil;Ambos;2013;Próstata;13772;6.91;8.84
BR;Brasil;Ambos;2013;Colo de útero;5430;2.73;3.2
BR;Brasil;Ambos;2013;Demais localizações;72661;36.47;44.1
BR;Brasil;Ambos;2013;Isquêmicas do coração;106788;53.6;66.75
BR;Brasil;Ambos;2013;Cerebrovasculares;100050;50.22;62.84
BR;Brasil;Ambos;2013;Demais cardiovasculares;132834;66.67;82.88
BR;Brasil;Ambos;2013;Vias aéreas superiores;239;0.12;0.137
BR;Brasil;Ambos;2013;Crônicas das vias aéreas inferiores;43497;21.833;27.644
BR;Brasil;Ambos;2013;Pulmonares por agentes externos;4494;2.256;2.76
BR;Brasil;Ambos;2013;Interstício pulmonar;5836;2.929;3.53
BR;Brasil;Ambos;2013;Necróticas e supurativas;857;0.43;0.505
BR;Brasil;Ambos;2013;Pleura;1198;0.601;0.728
BR;Brasil;Ambos;2013;Outras do aparelho respiratório;11759;5.902;7.244
BR;Brasil;Ambos;2014;Órgãos digestivos;64234;31.99;38.79
BR;Brasil;Ambos;2014;"Pulmão, traqueia e brônquios";25427;12.66;15.48
BR;Brasil;Ambos;2014;Mama feminina;14786;7.36;8.66
BR;Brasil;Ambos;2014;Próstata;14161;7.05;8.78
BR;Brasil;Ambos;2014;Colo de útero;5448;2.71;3.12
BR;Brasil;Ambos;2014;Demais localizações;74252;36.98;43.79
BR;Brasil;Ambos;2014;Isquêmicas do coração;107916;53.74;65.28
BR;Brasil;Ambos;2014;Cerebrovasculares;99289;49.44;60.32
BR;Brasil;Ambos;2014;Demais cardiovasculares;133079;66.27;80.38
BR;Brasil;Ambos;2014;Vias aéreas superiores;267;0.133;0.147
BR;Brasil;Ambos;2014;Crônicas das vias aéreas inferiores;42222;21.026;25.931
BR;Brasil;Ambos;2014;Pulmonares por agentes externos;4831;2.406;2.885
BR;Brasil;Ambos;2014;Interstício pulmonar;6107;3.041;3.604
BR;Brasil;Ambos;2014;Necróticas e supurativas;833;0.415;0.479
BR;Brasil;Ambos;2014;Pleura;1318;0.656;0.775
BR;Brasil;Ambos;2014;Outras do aparelho respiratório;11378;5.666;6.801
BR;Brasil;Ambos;2015;Órgãos digestivos;66489;32.85;38.84
BR;Brasil;Ambos;2015;"Pulmão, traqueia e brônquios";26498;13.09;15.61
BR;Brasil;Ambos;2015;Mama feminina;15593;7.7;8.87
BR;Brasil;Ambos;2015;Próstata;14484;7.16;8.67
BR;Brasil;Ambos;2015;Colo de útero;5727;2.83;3.19
BR;Brasil;Ambos;2015;Demais localizações;77207;38.15;44.21
BR;Brasil;Ambos;2015;Isquêmicas do coração;111863;55.27;65.48
BR;Brasil;Ambos;2015;Cerebrovasculares;100520;49.66;59.09
BR;Brasil;Ambos;2015;Demais cardiovasculares;137259;67.81;80.23
BR;Brasil;Ambos;2015;Vias aéreas superiores;554;0.274;0.148
BR;Brasil;Ambos;2015;Crônicas das vias aéreas inferiores;90298;44.613;26.725
BR;Brasil;Ambos;2015;Pulmonares por agentes externos;9874;4.878;2.85
BR;Brasil;Ambos;2015;Interstício pulmonar;12718;6.283;3.61
BR;Brasil;Ambos;2015;Necróticas e supurativas;1558;0.77;0.429
BR;Brasil;Ambos;2015;Pleura;2856;1.411;0.814
BR;Brasil;Ambos;2015;Outras do aparelho respiratório;24230;11.971;7.005
BR;Brasil;Ambos;2016;Órgãos digestivos;68831;33.76;38.96
BR;Brasil;Ambos;2016;"Pulmão, traqueia e brônquios";27270;13.38;15.55
BR;Brasil;Ambos;2016;Mama feminina;16254;7.97;8.98
BR;Brasil;Ambos;2016;Próstata;14926;7.32;8.63
BR;Brasil;Ambos;2016;Colo de útero;5847;2.87;3.17
BR;Brasil;Ambos;2016;Demais localizações;78215;38.36;43.49
BR;Brasil;Ambos;2016;Isquêmicas do coração;116133;56.96;65.8
BR;Brasil;Ambos;2016;Cerebrovasculares;102965;50.5;58.55
BR;Brasil;Ambos;2016;Demais cardiovasculares;142993;70.14;80.94
BR;Brasil;Ambos;2016;Vias aéreas superiores;291;0.143;0.155
BR;Brasil;Ambos;2016;Crônicas das vias aéreas inferiores;46325;22.723;26.572
BR;Brasil;Ambos;2016;Pulmonares por agentes externos;5457;2.677;3.059
BR;Brasil;Ambos;2016;Interstício pulmonar;6476;3.177;3.594
