Território;Nome do território;Sexo;Ano;Grupo de causa;Óbitos;Taxa padronizada (por 100 mil hab.)
BR;Brasil;Homens;2010;Demais causas definidas;39564;58.43
BR;Brasil;Homens;2011;Aparelho circulatório;174956;267.72
BR;Brasil;Homens;2011;Neoplasias;98402;146.73
BR;Brasil;Homens;2011;Aparelho respiratório;66253;102.58
BR;Brasil;Homens;2011;Causas externas;118090;128.69
BR;Brasil;Homens;2011;Endócrinas e metabólicas;33244;50.55
BR;Brasil;Homens;2011;Aparelho digestivo;37930;53.02
BR;Brasil;Homens;2011;Infecciosas e parasitárias;28240;37.06
BR;Brasil;Homens;2011;Perinatais e malformações;18842;15.88
BR;Brasil;Homens;2011;Sinais e achados mal definidos;44135;63.72
BR;Brasil;Homens;2011;Demais causas definidas;42145;60.84
BR;Brasil;Homens;2012;Aparelho circulatório;174159;258.29
BR;Brasil;Homens;2012;Neoplasias;101937;147.46
BR;Brasil;Homens;2012;Aparelho respiratório;66171;99.34
BR;Brasil;Homens;2012;Causas externas;123486;132.35
BR;Brasil;Homens;2012;Endócrinas e metabólicas;32381;47.72
BR;Brasil;Homens;2012;Aparelho digestivo;37968;51.72
BR;Brasil;Homens;2012;Infecciosas e parasitárias;28309;36.52
BR;Brasil;Homens;2012;Perinatais e malformações;18426;15.45
BR;Brasil;Homens;2012;Sinais e achados mal definidos;41982;58.88
BR;Brasil;Homens;2012;Demais causas definidas;42839;60.57
BR;Brasil;Homens;2013;Aparelho circulatório;177730;255.62
BR;Brasil;Homens;2013;Neoplasias;105177;147.7
BR;Brasil;Homens;2013;Aparelho respiratório;71644;104.36
BR;Brasil;Homens;2013;Causas externas;122961;130.52
BR;Brasil;Homens;2013;Endócrinas e metabólicas;33684;48.24
BR;Brasil;Homens;2013;Aparelho digestivo;38844;51.55
BR;Brasil;Homens;2013;Infecciosas e parasitárias;29714;37.5
BR;Brasil;Homens;2013;Perinatais e malformações;18337;15.43
BR;Brasil;Homens;2013;Sinais e achados mal definidos;40673;55.35
BR;Brasil;Homens;2013;Demais causas definidas;44807;61.88
BR;Brasil;Homens;2014;Aparelho circulatório;178007;247.73
BR;Brasil;Homens;2014;Neoplasias;107279;146.14
BR;Brasil;Homens;2014;Aparelho respiratório;71428;101.26
BR;Brasil;Homens;2014;Causas externas;127545;133.61
BR;Brasil;Homens;2014;Endócrinas e metabólicas;33555;46.5
BR;Brasil;Homens;2014;Aparelho digestivo;38926;50.3
BR;Brasil;Homens;2014;Infecciosas e parasitárias;29727;36.77
BR;Brasil;Homens;2014;Perinatais e malformações;18417;15.32
BR;Brasil;Homens;2014;Sinais e achados mal definidos;39964;52.99
BR;Brasil;Homens;2014;Demais causas definidas;46195;62.32
BR;Brasil;Homens;2015;Aparelho circulatório;182255;245.78
BR;Brasil;Homens;2015;Neoplasias;111069;146.65
BR;Brasil;Homens;2015;Aparelho respiratório;76122;104.97
BR;Brasil;Homens;2015;Causas externas;123457;128.32
